Time stamp;Hartham GS;Walkern Mill;Aston pump house;Frogmore;Watton at Stone
01.08.1979;0,768;0,099;0,048;0,081;0,102
02.08.1979;0,684;0,078;0,041;0,067;0,087
03.08.1979;0,657;0,071;0,038;0,063;0,082
04.08.1979;0,644;0,068;0,037;0,061;0,08
05.08.1979;0,642;0,067;0,037;0,06;0,079
06.08.1979;0,628;0,064;0,036;0,058;0,077
07.08.1979;0,775;0,101;0,049;0,082;0,104
08.08.1979;0,895;0,131;0,06;0,102;0,126
09.08.1979;1,41;0,261;0,107;0,186;0,221
10.08.1979;0,772;0,1;0,049;0,082;0,103
11.08.1979;0,683;0,077;0,041;0,067;0,087
12.08.1979;0,677;0,076;0,04;0,066;0,086
13.08.1979;0,672;0,075;0,04;0,065;0,085
14.08.1979;0,67;0,074;0,04;0,065;0,084
15.08.1979;0,638;0,066;0,037;0,06;0,078
16.08.1979;0,659;0,071;0,039;0,063;0,082
17.08.1979;0,847;0,119;0,056;0,094;0,117
18.08.1979;0,672;0,075;0,04;0,065;0,085
19.08.1979;0,633;0,065;0,036;0,059;0,078
20.08.1979;0,623;0,062;0,035;0,057;0,076
21.08.1979;0,65;0,069;0,038;0,062;0,081
22.08.1979;0,621;0,062;0,035;0,057;0,075
23.08.1979;0,625;0,063;0,035;0,058;0,076
24.08.1979;0,689;0,079;0,041;0,068;0,088
25.08.1979;0,638;0,066;0,037;0,06;0,078
26.08.1979;0,622;0,062;0,035;0,057;0,075
27.08.1979;0,638;0,066;0,037;0,06;0,078
28.08.1979;0,618;0,061;0,035;0,056;0,075
29.08.1979;0,597;0,056;0,033;0,053;0,071
30.08.1979;0,584;0,052;0,032;0,051;0,068
31.08.1979;0,581;0,052;0,031;0,05;0,068
01.09.1979;0,59;0,054;0,032;0,052;0,07
02.09.1979;0,592;0,054;0,032;0,052;0,07
03.09.1979;0,583;0,052;0,032;0,051;0,068
04.09.1979;0,531;0,039;0,027;0,042;0,059
05.09.1979;0,545;0,043;0,028;0,044;0,061
06.09.1979;0,551;0,044;0,029;0,045;0,062
07.09.1979;0,556;0,045;0,029;0,046;0,063
08.09.1979;0,568;0,048;0,03;0,048;0,066
09.09.1979;0,555;0,045;0,029;0,046;0,063
10.09.1979;0,535;0,04;0,027;0,043;0,059
11.09.1979;0,524;0,037;0,026;0,041;0,057
12.09.1979;0,549;0,044;0,029;0,045;0,062
13.09.1979;0,514;0,035;0,025;0,039;0,056
14.09.1979;0,533;0,04;0,027;0,043;0,059
15.09.1979;0,525;0,038;0,026;0,041;0,058
16.09.1979;0,524;0,037;0,026;0,041;0,057
17.09.1979;0,507;0,033;0,025;0,038;0,054
18.09.1979;0,516;0,035;0,026;0,04;0,056
19.09.1979;0,604;0,057;0,034;0,054;0,072
20.09.1979;0,61;0,059;0,034;0,055;0,073
21.09.1979;0,55;0,044;0,029;0,045;0,062
22.09.1979;0,578;0,051;0,031;0,05;0,067
23.09.1979;0,546;0,043;0,028;0,045;0,061
24.09.1979;0,523;0,037;0,026;0,041;0,057
25.09.1979;0,522;0,037;0,026;0,041;0,057
26.09.1979;0,532;0,039;0,027;0,042;0,059
27.09.1979;0,501;0,032;0,024;0,037;0,053
28.09.1979;0,502;0,032;0,024;0,037;0,053
29.09.1979;0,508;0,033;0,025;0,038;0,054
30.09.1979;0,525;0,038;0,026;0,041;0,058
01.10.1979;0,509;0,034;0,025;0,039;0,055
02.10.1979;0,505;0,033;0,025;0,038;0,054
03.10.1979;0,506;0,033;0,025;0,038;0,054
04.10.1979;0,503;0,032;0,024;0,038;0,054
05.10.1979;0,497;0,03;0,024;0,037;0,052
06.10.1979;0,502;0,032;0,024;0,037;0,053
07.10.1979;0,523;0,037;0,026;0,041;0,057
08.10.1979;0,533;0,04;0,027;0,043;0,059
09.10.1979;0,813;0,11;0,052;0,088;0,111
10.10.1979;1,03;0,165;0,072;0,124;0,151
10.11.1979;0,722;0,087;0,044;0,074;0,094
10.12.1979;0,627;0,063;0,036;0,058;0,076
13.10.1979;0,687;0,078;0,041;0,068;0,087
14.10.1979;0,614;0,06;0,034;0,056;0,074
15.10.1979;0,539;0,041;0,028;0,043;0,06
16.10.1979;0,523;0,037;0,026;0,041;0,057
17.10.1979;0,515;0,035;0,025;0,04;0,056
18.10.1979;0,508;0,033;0,025;0,038;0,054
19.10.1979;0,517;0,036;0,026;0,04;0,056
20.10.1979;0,524;0,037;0,026;0,041;0,057
21.10.1979;0,502;0,032;0,024;0,037;0,053
22.10.1979;0,487;0,028;0,023;0,035;0,051
23.10.1979;0,502;0,032;0,024;0,037;0,053
24.10.1979;0,514;0,035;0,025;0,039;0,056
25.10.1979;0,653;0,07;0,038;0,062;0,081
26.10.1979;0,996;0,156;0,069;0,118;0,144
27.10.1979;0,595;0,055;0,033;0,053;0,071
28.10.1979;0,537;0,041;0,027;0,043;0,06
29.10.1979;0,497;0,03;0,024;0,037;0,052
30.10.1979;0,492;0,029;0,023;0,036;0,052
31.10.1979;0,544;0,042;0,028;0,044;0,061
01.11.1979;0,506;0,033;0,025;0,038;0,054
02.11.1979;0,483;0,027;0,023;0,034;0,05
03.11.1979;0,554;0,045;0,029;0,046;0,063
04.11.1979;0,576;0,05;0,031;0,05;0,067
05.11.1979;0,581;0,052;0,031;0,05;0,068
06.11.1979;0,578;0,051;0,031;0,05;0,067
07.11.1979;0,655;0,07;0,038;0,063;0,082
08.11.1979;0,588;0,053;0,032;0,052;0,069
09.11.1979;0,51;0,034;0,025;0,039;0,055
11.10.1979;0,494;0,03;0,024;0,036;0,052
11.11.1979;0,501;0,032;0,024;0,037;0,053
11.12.1979;0,541;0,042;0,028;0,044;0,061
13.11.1979;0,491;0,029;0,023;0,036;0,051
14.11.1979;0,568;0,048;0,03;0,048;0,066
15.11.1979;0,541;0,042;0,028;0,044;0,061
16.11.1979;0,61;0,059;0,034;0,055;0,073
17.11.1979;0,543;0,042;0,028;0,044;0,061
18.11.1979;0,525;0,038;0,026;0,041;0,058
19.11.1979;0,482;0,027;0,022;0,034;0,05
20.11.1979;0,46;0,021;0,02;0,031;0,046
21.11.1979;0,453;0,019;0,02;0,029;0,044
22.11.1979;0,47;0,024;0,021;0,032;0,047
23.11.1979;0,468;0,023;0,021;0,032;0,047
24.11.1979;0,47;0,024;0,021;0,032;0,047
25.11.1979;0,461;0,021;0,021;0,031;0,046
26.11.1979;0,491;0,029;0,023;0,036;0,051
27.11.1979;0,655;0,07;0,038;0,063;0,082
28.11.1979;0,514;0,035;0,025;0,039;0,056
29.11.1979;0,493;0,029;0,023;0,036;0,052
30.11.1979;0,485;0,027;0,023;0,035;0,05
01.12.1979;0,475;0,025;0,022;0,033;0,048
02.12.1979;0,469;0,023;0,021;0,032;0,047
03.12.1979;0,443;0,017;0,019;0,028;0,042
04.12.1979;0,453;0,019;0,02;0,029;0,044
05.12.1979;0,449;0,018;0,019;0,029;0,044
06.12.1979;0,458;0,021;0,02;0,03;0,045
07.12.1979;0,449;0,018;0,019;0,029;0,044
08.12.1979;0,468;0,023;0,021;0,032;0,047
09.12.1979;0,707;0,083;0,043;0,071;0,091
12.10.1979;0,868;0,124;0,057;0,097;0,121
12.11.1979;1,23;0,215;0,09;0,157;0,188
12.12.1979;0,796;0,106;0,051;0,086;0,108
13.12.1979;0,942;0,143;0,064;0,11;0,135
14.12.1979;3,19;0,709;0,268;0,478;0,549
15.12.1979;2,4;0,51;0,196;0,349;0,403
16.12.1979;1,13;0,19;0,081;0,14;0,169
17.12.1979;0,746;0,093;0,046;0,077;0,098
18.12.1979;0,704;0,083;0,043;0,071;0,091
19.12.1979;0,688;0,079;0,041;0,068;0,088
20.12.1979;0,641;0,067;0,037;0,06;0,079
21.12.1979;0,625;0,063;0,035;0,058;0,076
22.12.1979;0,635;0,065;0,036;0,059;0,078
23.12.1979;0,657;0,071;0,038;0,063;0,082
24.12.1979;0,618;0,061;0,035;0,056;0,075
25.12.1979;0,588;0,053;0,032;0,052;0,069
26.12.1979;0,594;0,055;0,033;0,053;0,07
27.12.1979;2,33;0,493;0,19;0,337;0,39
28.12.1979;9,03;2,182;0,797;1,436;1,626
29.12.1979;2,22;0,465;0,18;0,319;0,37
30.12.1979;1,21;0,21;0,088;0,154;0,184
31.12.1979;0,936;0,141;0,064;0,109;0,133
01.01.1980;0,812;0,11;0,052;0,088;0,111
02.01.1980;0,749;0,094;0,047;0,078;0,099
03.01.1980;1,2;0,208;0,088;0,152;0,182
04.01.1980;2,26;0,475;0,184;0,326;0,378
05.01.1980;1,3;0,233;0,097;0,168;0,201
06.01.1980;0,939;0,142;0,064;0,109;0,134
07.01.1980;0,837;0,116;0,055;0,092;0,115
08.01.1980;0,766;0,098;0,048;0,081;0,102
09.01.1980;0,729;0,089;0,045;0,075;0,095
10.01.1980;0,703;0,082;0,042;0,07;0,09
11.01.1980;0,691;0,079;0,041;0,068;0,088
12.01.1980;0,696;0,081;0,042;0,069;0,089
13.01.1980;0,69;0,079;0,041;0,068;0,088
14.01.1980;0,685;0,078;0,041;0,067;0,087
15.01.1980;0,679;0,076;0,04;0,066;0,086
16.01.1980;0,674;0,075;0,04;0,066;0,085
17.01.1980;0,671;0,074;0,04;0,065;0,085
18.01.1980;0,678;0,076;0,04;0,066;0,086
19.01.1980;0,691;0,079;0,041;0,068;0,088
20.01.1980;0,688;0,079;0,041;0,068;0,088
21.01.1980;0,88;0,127;0,059;0,099;0,123
22.01.1980;0,801;0,107;0,051;0,086;0,109
23.01.1980;0,721;0,087;0,044;0,073;0,094
24.01.1980;0,677;0,076;0,04;0,066;0,086
25.01.1980;0,662;0,072;0,039;0,064;0,083
26.01.1980;0,667;0,073;0,039;0,064;0,084
27.01.1980;0,676;0,076;0,04;0,066;0,085
28.01.1980;0,659;0,071;0,039;0,063;0,082
29.01.1980;0,658;0,071;0,038;0,063;0,082
30.01.1980;0,679;0,076;0,04;0,066;0,086
31.01.1980;0,849;0,119;0,056;0,094;0,117
01.02.1980;0,748;0,094;0,047;0,078;0,099
02.02.1980;0,962;0,148;0,066;0,113;0,138
03.02.1980;1,23;0,215;0,09;0,157;0,188
04.02.1980;1,22;0,213;0,089;0,155;0,186
05.02.1980;1,98;0,404;0,158;0,28;0,326
06.02.1980;1,97;0,402;0,157;0,278;0,324
07.02.1980;1,61;0,311;0,125;0,219;0,258
08.02.1980;1,32;0,238;0,098;0,172;0,204
09.02.1980;1,09;0,18;0,078;0,134;0,162
10.02.1980;0,873;0,125;0,058;0,098;0,122
11.02.1980;0,776;0,101;0,049;0,082;0,104
12.02.1980;0,744;0,093;0,046;0,077;0,098
13.02.1980;0,732;0,09;0,045;0,075;0,096
14.02.1980;0,721;0,087;0,044;0,073;0,094
15.02.1980;0,744;0,093;0,046;0,077;0,098
16.02.1980;0,722;0,087;0,044;0,074;0,094
17.02.1980;0,718;0,086;0,044;0,073;0,093
18.02.1980;0,7;0,082;0,042;0,07;0,09
19.02.1980;0,697;0,081;0,042;0,069;0,089
20.02.1980;0,698;0,081;0,042;0,07;0,09
21.02.1980;0,947;0,144;0,065;0,11;0,135
22.02.1980;0,772;0,1;0,049;0,082;0,103
23.02.1980;0,727;0,088;0,045;0,074;0,095
24.02.1980;0,706;0,083;0,043;0,071;0,091
25.02.1980;0,694;0,08;0,042;0,069;0,089
26.02.1980;0,682;0,077;0,041;0,067;0,087
27.02.1980;0,671;0,074;0,04;0,065;0,085
28.02.1980;0,648;0,069;0,038;0,061;0,08
29.02.1980;0,671;0,074;0,04;0,065;0,085
01.03.1980;0,663;0,072;0,039;0,064;0,083
02.03.1980;0,66;0,072;0,039;0,063;0,083
03.03.1980;0,63;0,064;0,036;0,058;0,077
04.03.1980;0,628;0,064;0,036;0,058;0,077
05.03.1980;0,637;0,066;0,037;0,06;0,078
06.03.1980;0,728;0,089;0,045;0,074;0,095
07.03.1980;0,883;0,128;0,059;0,1;0,124
08.03.1980;0,754;0,095;0,047;0,079;0,1
09.03.1980;0,665;0,073;0,039;0,064;0,083
10.03.1980;0,679;0,076;0,04;0,066;0,086
11.03.1980;0,669;0,074;0,039;0,065;0,084
12.03.1980;0,927;0,139;0,063;0,107;0,132
13.03.1980;0,932;0,14;0,063;0,108;0,133
14.03.1980;0,838;0,116;0,055;0,093;0,115
15.03.1980;1,04;0,167;0,073;0,126;0,153
16.03.1980;0,771;0,1;0,049;0,082;0,103
17.03.1980;1,8;0,359;0,142;0,25;0,293
18.03.1980;2,84;0,621;0,236;0,421;0,484
19.03.1980;1,56;0,298;0,12;0,211;0,248
20.03.1980;1,1;0,183;0,078;0,136;0,164
21.03.1980;0,869;0,124;0,058;0,098;0,121
22.03.1980;0,801;0,107;0,051;0,086;0,109
23.03.1980;0,757;0,096;0,047;0,079;0,1
24.03.1980;0,8;0,107;0,051;0,086;0,108
25.03.1980;0,9;0,132;0,06;0,103;0,127
26.03.1980;0,843;0,118;0,055;0,093;0,116
27.03.1980;0,92;0,137;0,062;0,106;0,13
28.03.1980;0,835;0,116;0,054;0,092;0,115
29.03.1980;0,898;0,132;0,06;0,102;0,126
30.03.1980;0,77;0,099;0,049;0,081;0,103
31.03.1980;0,815;0,111;0,053;0,089;0,111
01.04.1980;1,91;0,387;0,152;0,268;0,313
02.04.1980;1,87;0,377;0,148;0,262;0,306
03.04.1980;0,972;0,15;0,067;0,115;0,14
04.04.1980;0,831;0,115;0,054;0,091;0,114
05.04.1980;0,781;0,102;0,05;0,083;0,105
06.04.1980;0,768;0,099;0,048;0,081;0,102
07.04.1980;0,765;0,098;0,048;0,081;0,102
08.04.1980;0,74;0,092;0,046;0,076;0,097
09.04.1980;0,732;0,09;0,045;0,075;0,096
10.04.1980;0,724;0,088;0,044;0,074;0,094
11.04.1980;0,724;0,088;0,044;0,074;0,094
12.04.1980;0,742;0,092;0,046;0,077;0,098
13.04.1980;0,735;0,09;0,045;0,076;0,096
14.04.1980;0,641;0,067;0,037;0,06;0,079
15.04.1980;0,68;0,077;0,04;0,067;0,086
16.04.1980;0,684;0,078;0,041;0,067;0,087
17.04.1980;0,679;0,076;0,04;0,066;0,086
18.04.1980;0,709;0,084;0,043;0,071;0,092
19.04.1980;0,705;0,083;0,043;0,071;0,091
20.04.1980;0,692;0,08;0,041;0,069;0,088
21.04.1980;0,674;0,075;0,04;0,066;0,085
22.04.1980;0,685;0,078;0,041;0,067;0,087
23.04.1980;0,684;0,078;0,041;0,067;0,087
24.04.1980;0,682;0,077;0,041;0,067;0,087
25.04.1980;0,677;0,076;0,04;0,066;0,086
26.04.1980;0,715;0,085;0,044;0,072;0,093
27.04.1980;0,718;0,086;0,044;0,073;0,093
28.04.1980;0,671;0,074;0,04;0,065;0,085
29.04.1980;0,665;0,073;0,039;0,064;0,083
30.04.1980;0,729;0,089;0,045;0,075;0,095
01.05.1980;0,679;0,076;0,04;0,066;0,086
02.05.1980;0,665;0,073;0,039;0,064;0,083
03.05.1980;0,672;0,075;0,04;0,065;0,085
04.05.1980;0,664;0,073;0,039;0,064;0,083
05.05.1980;0,67;0,074;0,04;0,065;0,084
06.05.1980;0,658;0,071;0,038;0,063;0,082
07.05.1980;0,658;0,071;0,038;0,063;0,082
08.05.1980;0,642;0,067;0,037;0,06;0,079
09.05.1980;0,732;0,09;0,045;0,075;0,096
10.05.1980;0,653;0,07;0,038;0,062;0,081
11.05.1980;0,649;0,069;0,038;0,062;0,08
12.05.1980;0,62;0,062;0,035;0,057;0,075
13.05.1980;0,625;0,063;0,035;0,058;0,076
14.05.1980;0,611;0,059;0,034;0,055;0,073
15.05.1980;0,6;0,056;0,033;0,054;0,071
16.05.1980;0,597;0,056;0,033;0,053;0,071
17.05.1980;0,619;0,061;0,035;0,057;0,075
18.05.1980;0,621;0,062;0,035;0,057;0,075
19.05.1980;0,6;0,056;0,033;0,054;0,071
20.05.1980;0,621;0,062;0,035;0,057;0,075
21.05.1980;0,631;0,064;0,036;0,059;0,077
22.05.1980;0,587;0,053;0,032;0,051;0,069
23.05.1980;0,591;0,054;0,032;0,052;0,07
24.05.1980;0,615;0,06;0,035;0,056;0,074
25.05.1980;0,573;0,05;0,031;0,049;0,066
26.05.1980;0,491;0,029;0,023;0,036;0,051
27.05.1980;0,71;0,084;0,043;0,072;0,092
28.05.1980;0,591;0,054;0,032;0,052;0,07
29.05.1980;0,599;0,056;0,033;0,053;0,071
30.05.1980;0,574;0,05;0,031;0,049;0,067
31.05.1980;0,707;0,083;0,043;0,071;0,091
01.06.1980;0,729;0,089;0,045;0,075;0,095
02.06.1980;0,615;0,06;0,035;0,056;0,074
03.06.1980;0,589;0,054;0,032;0,052;0,069
04.06.1980;0,555;0,045;0,029;0,046;0,063
05.06.1980;0,545;0,043;0,028;0,044;0,061
06.06.1980;0,541;0,042;0,028;0,044;0,061
07.06.1980;0,557;0,046;0,029;0,046;0,064
08.06.1980;0,537;0,041;0,027;0,043;0,06
09.06.1980;0,517;0,036;0,026;0,04;0,056
10.06.1980;0,511;0,034;0,025;0,039;0,055
11.06.1980;0,531;0,039;0,027;0,042;0,059
12.06.1980;0,511;0,034;0,025;0,039;0,055
13.06.1980;0,565;0,048;0,03;0,048;0,065
14.06.1980;0,69;0,079;0,041;0,068;0,088
15.06.1980;0,551;0,044;0,029;0,045;0,062
16.06.1980;0,511;0,034;0,025;0,039;0,055
17.06.1980;0,611;0,059;0,034;0,055;0,073
18.06.1980;0,517;0,036;0,026;0,04;0,056
19.06.1980;0,491;0,029;0,023;0,036;0,051
20.06.1980;0,531;0,039;0,027;0,042;0,059
21.06.1980;0,498;0,031;0,024;0,037;0,053
22.06.1980;0,531;0,039;0,027;0,042;0,059
23.06.1980;0,498;0,031;0,024;0,037;0,053
24.06.1980;0,591;0,054;0,032;0,052;0,07
25.06.1980;0,565;0,048;0,03;0,048;0,065
26.06.1980;0,498;0,031;0,024;0,037;0,053
27.06.1980;0,511;0,034;0,025;0,039;0,055
28.06.1980;0,69;0,079;0,041;0,068;0,088
29.06.1980;0,579;0,051;0,031;0,05;0,068
30.06.1980;0,75;0,094;0,047;0,078;0,099
01.07.1980;0,79;0,104;0,05;0,085;0,106
02.07.1980;0,618;0,061;0,035;0,056;0,075
03.07.1980;0,579;0,051;0,031;0,05;0,068
04.07.1980;0,65;0,069;0,038;0,062;0,081
05.07.1980;0,58;0,051;0,031;0,05;0,068
06.07.1980;0,564;0,047;0,03;0,048;0,065
07.07.1980;0,592;0,054;0,032;0,052;0,07
08.07.1980;0,659;0,071;0,039;0,063;0,082
09.07.1980;0,816;0,111;0,053;0,089;0,111
10.07.1980;0,575;0,05;0,031;0,049;0,067
11.07.1980;0,537;0,041;0,027;0,043;0,06
12.07.1980;0,599;0,056;0,033;0,053;0,071
13.07.1980;0,555;0,045;0,029;0,046;0,063
14.07.1980;0,765;0,098;0,048;0,081;0,102
15.07.1980;0,565;0,048;0,03;0,048;0,065
16.07.1980;0,52;0,036;0,026;0,04;0,057
17.07.1980;0,516;0,035;0,026;0,04;0,056
18.07.1980;0,517;0,036;0,026;0,04;0,056
19.07.1980;0,6;0,056;0,033;0,054;0,071
20.07.1980;0,747;0,094;0,046;0,078;0,099
21.07.1980;0,593;0,055;0,033;0,052;0,07
22.07.1980;0,511;0,034;0,025;0,039;0,055
23.07.1980;0,493;0,029;0,023;0,036;0,052
24.07.1980;0,481;0,026;0,022;0,034;0,049
25.07.1980;0,478;0,026;0,022;0,033;0,049
26.07.1980;0,799;0,107;0,051;0,086;0,108
27.07.1980;0,661;0,072;0,039;0,064;0,083
28.07.1980;0,505;0,033;0,025;0,038;0,054
29.07.1980;0,653;0,07;0,038;0,062;0,081
30.07.1980;1,64;0,319;0,127;0,224;0,263
31.07.1980;0,682;0,077;0,041;0,067;0,087
01.08.1980;0,617;0,061;0,035;0,056;0,075
02.08.1980;0,553;0,045;0,029;0,046;0,063
03.08.1980;0,524;0,037;0,026;0,041;0,057
04.08.1980;0,497;0,03;0,024;0,037;0,052
05.08.1980;0,482;0,027;0,022;0,034;0,05
06.08.1980;0,471;0,024;0,021;0,032;0,048
07.08.1980;0,468;0,023;0,021;0,032;0,047
08.08.1980;0,467;0,023;0,021;0,032;0,047
09.08.1980;0,484;0,027;0,023;0,034;0,05
10.08.1980;0,479;0,026;0,022;0,034;0,049
11.08.1980;0,461;0,021;0,021;0,031;0,046
12.08.1980;0,471;0,024;0,021;0,032;0,048
13.08.1980;0,573;0,05;0,031;0,049;0,066
14.08.1980;0,526;0,038;0,026;0,041;0,058
15.08.1980;0,769;0,099;0,048;0,081;0,103
16.08.1980;0,546;0,043;0,028;0,045;0,061
17.08.1980;0,498;0,031;0,024;0,037;0,053
18.08.1980;0,464;0,022;0,021;0,031;0,046
19.08.1980;0,454;0,02;0,02;0,03;0,045
20.08.1980;0,451;0,019;0,02;0,029;0,044
21.08.1980;0,44;0,016;0,019;0,027;0,042
22.08.1980;0,432;0,014;0,018;0,026;0,04
23.08.1980;0,445;0,017;0,019;0,028;0,043
24.08.1980;0,45;0,019;0,02;0,029;0,044
25.08.1980;0,449;0,018;0,019;0,029;0,044
26.08.1980;0,419;0,011;0,017;0,024;0,038
27.08.1980;0,422;0,012;0,017;0,024;0,039
28.08.1980;0,419;0,011;0,017;0,024;0,038
29.08.1980;0,485;0,027;0,023;0,035;0,05
30.08.1980;0,537;0,041;0,027;0,043;0,06
31.08.1980;0,483;0,027;0,023;0,034;0,05
01.09.1980;0,423;0,012;0,017;0,024;0,039
02.09.1980;0,415;0,01;0,016;0,023;0,037
03.09.1980;0,41;0,009;0,016;0,022;0,036
04.09.1980;0,396;0,005;0,015;0,02;0,034
05.09.1980;0,4;0,006;0,015;0,021;0,035
06.09.1980;0,416;0,01;0,016;0,023;0,038
07.09.1980;0,408;0,008;0,016;0,022;0,036
08.09.1980;0,382;0,002;0,013;0,018;0,031
09.09.1980;0,379;0,001;0,013;0,017;0,031
10.09.1980;0,383;0,002;0,013;0,018;0,031
11.09.1980;0,376;0;0,013;0,017;0,03
12.09.1980;0,374;0;0,013;0,016;0,03
13.09.1980;0,387;0,003;0,014;0,019;0,032
14.09.1980;0,393;0,004;0,014;0,02;0,033
15.09.1980;0,372;0;0,013;0,016;0,029
16.09.1980;0,422;0,012;0,017;0,024;0,039
17.09.1980;0,557;0,046;0,029;0,046;0,064
18.09.1980;0,41;0,009;0,016;0,022;0,036
19.09.1980;0,388;0,003;0,014;0,019;0,032
20.09.1980;0,4;0,006;0,015;0,021;0,035
21.09.1980;0,437;0,015;0,018;0,027;0,041
22.09.1980;0,605;0,058;0,034;0,054;0,072
23.09.1980;0,551;0,044;0,029;0,045;0,062
24.09.1980;0,413;0,009;0,016;0,023;0,037
25.09.1980;0,39;0,004;0,014;0,019;0,033
26.09.1980;0,384;0,002;0,014;0,018;0,032
27.09.1980;0,406;0,008;0,016;0,022;0,036
28.09.1980;0,405;0,007;0,015;0,022;0,035
29.09.1980;0,377;0;0,013;0,017;0,03
30.09.1980;0,373;0;0,013;0,016;0,03
01.10.1980;0,374;0;0,013;0,016;0,03
02.10.1980;0,365;0;0,012;0,015;0,028
03.10.1980;0,373;0;0,013;0,016;0,03
04.10.1980;0,392;0,004;0,014;0,019;0,033
05.10.1980;0,391;0,004;0,014;0,019;0,033
06.10.1980;0,428;0,013;0,018;0,025;0,04
07.10.1980;0,629;0,064;0,036;0,058;0,077
08.10.1980;0,508;0,033;0,025;0,038;0,054
09.10.1980;0,404;0,007;0,015;0,021;0,035
10.10.1980;0,414;0,01;0,016;0,023;0,037
10.11.1980;0,524;0,037;0,026;0,041;0,057
10.12.1980;0,462;0,022;0,021;0,031;0,046
13.10.1980;0,402;0,007;0,015;0,021;0,035
14.10.1980;0,401;0,006;0,015;0,021;0,035
15.10.1980;0,436;0,015;0,018;0,027;0,041
16.10.1980;1,2;0,208;0,088;0,152;0,182
17.10.1980;0,839;0,117;0,055;0,093;0,116
18.10.1980;0,673;0,075;0,04;0,065;0,085
19.10.1980;0,533;0,04;0,027;0,043;0,059
20.10.1980;0,497;0,03;0,024;0,037;0,052
21.10.1980;0,443;0,017;0,019;0,028;0,042
22.10.1980;0,421;0,011;0,017;0,024;0,038
23.10.1980;0,447;0,018;0,019;0,028;0,043
24.10.1980;0,415;0,01;0,016;0,023;0,037
25.10.1980;0,433;0,014;0,018;0,026;0,041
26.10.1980;0,425;0,012;0,017;0,025;0,039
27.10.1980;0,436;0,015;0,018;0,027;0,041
28.10.1980;0,46;0,021;0,02;0,031;0,046
29.10.1980;0,56;0,046;0,03;0,047;0,064
30.10.1980;0,425;0,012;0,017;0,025;0,039
31.10.1980;0,404;0,007;0,015;0,021;0,035
01.11.1980;0,411;0,009;0,016;0,023;0,037
02.11.1980;0,416;0,01;0,016;0,023;0,038
03.11.1980;0,38;0,001;0,013;0,017;0,031
04.11.1980;0,384;0,002;0,014;0,018;0,032
05.11.1980;0,377;0;0,013;0,017;0,03
06.11.1980;0,385;0,002;0,014;0,018;0,032
07.11.1980;0,449;0,018;0,019;0,029;0,044
08.11.1980;0,419;0,011;0,017;0,024;0,038
09.11.1980;0,403;0,007;0,015;0,021;0,035
11.10.1980;0,377;0;0,013;0,017;0,03
11.11.1980;0,379;0,001;0,013;0,017;0,031
11.12.1980;0,385;0,002;0,014;0,018;0,032
13.11.1980;0,383;0,002;0,013;0,018;0,031
14.11.1980;0,439;0,016;0,019;0,027;0,042
15.11.1980;0,683;0,077;0,041;0,067;0,087
16.11.1980;0,498;0,031;0,024;0,037;0,053
17.11.1980;0,473;0,024;0,022;0,033;0,048
18.11.1980;0,432;0,014;0,018;0,026;0,04
19.11.1980;0,421;0,011;0,017;0,024;0,038
20.11.1980;0,403;0,007;0,015;0,021;0,035
21.11.1980;0,396;0,005;0,015;0,02;0,034
22.11.1980;0,405;0,007;0,015;0,022;0,035
23.11.1980;0,415;0,01;0,016;0,023;0,037
24.11.1980;0,407;0,008;0,016;0,022;0,036
25.11.1980;0,399;0,006;0,015;0,021;0,034
26.11.1980;0,426;0,013;0,017;0,025;0,039
27.11.1980;0,411;0,009;0,016;0,023;0,037
28.11.1980;0,434;0,015;0,018;0,026;0,041
29.11.1980;0,443;0,017;0,019;0,028;0,042
30.11.1980;0,421;0,011;0,017;0,024;0,038
01.12.1980;0,408;0,008;0,016;0,022;0,036
02.12.1980;0,408;0,008;0,016;0,022;0,036
03.12.1980;0,387;0,003;0,014;0,019;0,032
04.12.1980;0,374;0;0,013;0,016;0,03
05.12.1980;0,38;0,001;0,013;0,017;0,031
06.12.1980;0,405;0,007;0,015;0,022;0,035
07.12.1980;0,381;0,001;0,013;0,018;0,031
08.12.1980;0,362;0;0,012;0,014;0,028
09.12.1980;0,36;0;0,011;0,014;0,027
12.10.1980;0,374;0;0,013;0,016;0,03
12.11.1980;0,367;0;0,012;0,015;0,028
12.12.1980;0,367;0;0,012;0,015;0,028
13.12.1980;0,413;0,009;0,016;0,023;0,037
14.12.1980;0,452;0,019;0,02;0,029;0,044
15.12.1980;0,427;0,013;0,017;0,025;0,04
16.12.1980;0,387;0,003;0,014;0,019;0,032
17.12.1980;0,549;0,044;0,029;0,045;0,062
18.12.1980;0,507;0,033;0,025;0,038;0,054
19.12.1980;0,469;0,023;0,021;0,032;0,047
20.12.1980;0,674;0,075;0,04;0,066;0,085
21.12.1980;0,505;0,033;0,025;0,038;0,054
22.12.1980;0,43;0,014;0,018;0,026;0,04
23.12.1980;0,416;0,01;0,016;0,023;0,038
24.12.1980;0,417;0,01;0,017;0,023;0,038
25.12.1980;0,41;0,009;0,016;0,022;0,036
26.12.1980;0,401;0,006;0,015;0,021;0,035
27.12.1980;0,394;0,005;0,014;0,02;0,033
28.12.1980;0,389;0,003;0,014;0,019;0,033
29.12.1980;0,39;0,004;0,014;0,019;0,033
30.12.1980;0,387;0,003;0,014;0,019;0,032
